province,year,month,ndvi,evi
Laghman,2020,4,0.29396737372487136,0.16304072817570767
Logar,2020,4,0.16440776591409192,0.10346068413567956
Nangarhar,2020,4,0.3097050440508811,0.18526496619975913
Nimroz,2020,4,0.08024622636313751,0.060159751608145615
Nuristan,2020,4,0.09417684716302324,0.030043505509104684
Paktya,2020,4,0.2212097214071764,0.12774330409922227
Samangan,2020,4,0.21570535707360533,0.14934842736470752
Sar-e-Pul,2020,4,0.23322315431378804,0.1636744000864929
Takhar,2020,4,0.2385632614385454,0.148627139593875
Wardak,2020,4,0.09731625035731065,0.05312539805302839
Zabul,2020,4,0.16532141871350114,0.11707080125954722
Khost,2020,5,0.28727421049545726,0.1837626435605171
Paktika,2020,5,0.16879096901538904,0.11889462620807421
Daykundi,2020,5,0.20595874433162692,0.14103584485041906
Panjsher,2020,5,0.11602230854632646,0.05807020809583119
Parwan,2020,5,0.2107872547659258,0.13080221856709068
Uruzgan,2020,5,0.19318820920217056,0.14382681126941174
Badakhshan,2020,5,0.1420711428617803,0.07747949058707353
Badghis,2020,5,0.2693162369337234,0.19223662292857108
Baghlan,2020,5,0.2606045213040134,0.1663273864844897
Balkh,2020,5,0.16941304479726566,0.13044913137183603
Bamyan,2020,5,0.17749153195483625,0.12253032471477601
Farah,2020,5,0.12065052069581518,0.08912159217926323
Faryab,2020,5,0.25763166433716284,0.18822974121456917
Ghazni,2020,5,0.18563924909278848,0.13742812691110354
Ghor,2020,5,0.2099977415872254,0.14979174261846653
Hilmand,2020,5,0.11735855214631885,0.08560468713402716
Hirat,2020,5,0.19090295530474308,0.13756989208422696
Jawzjan,2020,5,0.16770239826214264,0.12750417914899617
Kabul,2020,5,0.23113548786200575,0.1619477953252559
Kandahar,2020,5,0.13741133152029392,0.10278548120243294
Kapisa,2020,5,0.2815591785026511,0.1893734415334965
Kunar,2020,5,0.44230435405454144,0.24779227720658015
Kunduz,2020,5,0.21817842877335283,0.15289901583554322
Laghman,2020,5,0.26889554118436376,0.1679703741213921
Logar,2020,5,0.18821903510443033,0.13002523921792133
Nangarhar,2020,5,0.24998990958954442,0.16204294906253322
Nimroz,2020,5,0.08281309124863284,0.06312184650154332
Nuristan,2020,5,0.16150699022206252,0.07910620611204792
Paktya,2020,5,0.2548032026200995,0.16720073592127993
Samangan,2020,5,0.25044116544525447,0.18677755399289064
Sar-e-Pul,2020,5,0.24792231981981655,0.18164800973455056
Takhar,2020,5,0.2671825111716787,0.17558427190985307
Wardak,2020,5,0.19447115444883867,0.12852519116036915
Zabul,2020,5,0.15680417321077023,0.11868655114785864
