province,year,month,vci,tci,vhi
Balkh,2022,5,0.0,93.06,46.53
Bamyan,2022,5,14.55,0.0,7.27
Farah,2022,5,20.63,75.57,48.1
Faryab,2022,5,22.75,75.65,49.2
Ghazni,2022,5,0.0,2.67,1.33
Ghor,2022,5,18.74,0.0,9.37
Hilmand,2022,5,0.0,67.06,33.53
Hirat,2022,5,35.84,94.45,65.14
Jawzjan,2022,5,14.54,92.08,53.31
Kabul,2022,5,0.0,16.15,8.08
Kandahar,2022,5,13.47,59.07,36.27
Kapisa,2022,5,0.0,21.6,10.8
Kunar,2022,5,0.0,16.05,8.02
Kunduz,2022,5,0.0,95.19,47.59
Laghman,2022,5,0.0,18.02,9.01
Logar,2022,5,0.0,11.44,5.72
Nangarhar,2022,5,0.0,30.88,15.44
Nimroz,2022,5,1.96,67.56,34.76
Nuristan,2022,5,100.0,0.0,50.0
